Date,Open,High,Low,Close,Volume,Normalized_Open,Normalized_High,Normalized_Low,Normalized_Close,Normalized_Volume,Target price,Diff_Target_AND_Close_Percent,Label
22-06-00,1479.130005,1479.130005,1448.030029,1452.180054,1022700000,3.180054,-3.059936,-19.969971,-26.949951,13100000,1441.47998,-0.736828327,1
23-06-00,1452.180054,1459.939941,1438.310059,1441.47998,847600000,-26.949951,-19.190064,-9.71997,-10.700074,-175100000,1455.310059,0.959436079,2
26-06-00,1441.47998,1459.660034,1441.47998,1455.310059,889000000,-10.700074,-0.279907,3.169921,13.830079,41400000,1450.550049,-0.327078753,1
27-06-00,1455.310059,1463.349976,1450.550049,1450.550049,1042500000,13.830079,3.689942,9.070069,-4.76001,153500000,1454.819946,0.29436399,2
28-06-00,1450.550049,1467.630005,1450.550049,1454.819946,1095100000,-4.76001,4.280029,0,4.269897,52600000,1442.390015,-0.854396521,1
29-06-00,1454.819946,1455.140015,1434.630005,1442.390015,1110900000,4.269897,-12.48999,-15.920044,-12.429931,15800000,1454.599976,0.84650898,2
30-06-00,1442.390015,1454.680054,1438.709961,1454.599976,1459700000,-12.429931,-0.459961,4.079956,12.209961,348800000,1469.540039,1.027090832,3
3/7/2000,1454.599976,1469.579956,1450.849976,1469.540039,451900000,12.209961,14.899902,12.140015,14.940063,-1007800000,1446.22998,-1.586214624,0
5/7/2000,1469.540039,1469.540039,1442.449951,1446.22998,1019300000,14.940063,-0.039917,-8.400025,-23.310059,567400000,1456.670044,0.721881315,2
6/7/2000,1446.22998,1461.650024,1439.560059,1456.670044,947300000,-23.310059,-7.890015,-2.889892,10.440064,-72000000,1478.900024,1.526082045,3
7/7/2000,1456.670044,1484.119995,1456.670044,1478.900024,931700000,10.440064,22.469971,17.109985,22.22998,-15600000,1475.619995,-0.22178842,1
10/7/2000,1478.900024,1486.560059,1474.76001,1475.619995,838700000,22.22998,2.440064,18.089966,-3.280029,-93000000,1480.880005,0.356461014,2
11/7/2000,1475.619995,1488.77002,1470.47998,1480.880005,980500000,-3.280029,2.209961,-4.28003,5.26001,141800000,1492.920044,0.813032721,2
12/7/2000,1480.880005,1497.689941,1480.880005,1492.920044,1001200000,5.26001,8.919921,10.400025,12.040039,20700000,1495.839966,0.19558462,2
13-07-00,1492.920044,1501.390015,1489.650024,1495.839966,1026800000,12.040039,3.700074,8.770019,2.919922,25600000,1509.97998,0.945289224,2
14-07-00,1495.839966,1509.98999,1494.560059,1509.97998,960600000,2.919922,8.599975,4.910035,14.140014,-66200000,1510.48999,0.033775944,2
17-07-00,1509.97998,1517.319946,1505.26001,1510.48999,906000000,14.140014,7.329956,10.699951,0.51001,-54600000,1493.73999,-1.108911685,0
18-07-00,1510.48999,1510.48999,1491.349976,1493.73999,908300000,0.51001,-6.829956,-13.910034,-16.75,2300000,1481.959961,-0.788626473,1
19-07-00,1493.73999,1495.630005,1479.920044,1481.959961,909400000,-16.75,-14.859985,-11.429932,-11.780029,1100000,1495.569946,0.918377376,2
20-07-00,1481.959961,1501.920044,1481.959961,1495.569946,1064600000,-11.780029,6.290039,2.039917,13.609985,155200000,1480.189941,-1.028370826,0
21-07-00,1495.569946,1495.569946,1477.910034,1480.189941,968300000,13.609985,-6.350098,-4.049927,-15.380005,-96300000,1464.290039,-1.074179844,0
24-07-00,1480.189941,1485.880005,1463.800049,1464.290039,880300000,-15.380005,-9.689941,-14.109985,-15.899902,-88000000,1474.469971,0.695212815,2
25-07-00,1464.290039,1476.22998,1464.290039,1474.469971,969400000,-15.899902,-9.650025,0.48999,10.179932,89100000,1452.420044,-1.495447682,0
26-07-00,1474.469971,1474.469971,1452.420044,1452.420044,1235800000,10.179932,-1.760009,-11.869995,-22.049927,266400000,1449.619995,-0.19278507,1
27-07-00,1452.420044,1464.910034,1445.329956,1449.619995,1156400000,-22.049927,-9.559937,-7.090088,-2.800049,-79400000,1419.890015,-2.050880928,0
28-07-00,1449.619995,1456.680054,1413.890015,1419.890015,980000000,-2.800049,-8.22998,-31.439941,-29.72998,-176400000,1430.829956,0.770478057,2
31-07-00,1419.890015,1437.650024,1418.709961,1430.829956,952600000,-29.72998,-19.03003,4.819946,10.939941,-27400000,1438.099976,0.508098113,2
